N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
60,LG디스플레이,"14,800",100,-0.67%,"5,000","52,957","357,816",17.94,"1,125,189",5.41,9.68,
61,KODEX 200,"30,710",110,-0.36%,0,"52,514","171,000",4.82,"2,781,661",N/A,N/A,
62,F&F,"136,000","1,500",-1.09%,100,"52,098","38,307",12.47,"72,955",14.47,N/A,
63,강원랜드,"24,050",150,-0.62%,500,"51,453","213,940",21.27,"665,017",210.96,-0.33,
64,에스디바이오센서,"47,900",600,+1.27%,500,"49,467","103,271",10.99,"606,599",4.37,72.47,
65,코웨이,"66,600",300,+0.45%,500,"49,151","73,800",61.11,"195,302",10.35,27.41,
66,SKC,"128,000","2,000",+1.59%,"5,000","48,471","37,868",14.88,"236,665",19.74,11.60,
67,맥쿼리인프라,"11,750",350,-2.89%,0,"47,569","404,846",14.38,"1,338,115",N/A,N/A,
68,한국항공우주,"48,300",800,+1.68%,"5,000","47,080","97,475",21.35,"1,196,957",53.25,5.19,
69,삼성중공업,"5,280",90,-1.68%,"1,000","46,464","880,000",14.86,"3,045,903",-3.91,-36.89,
70,DB손해보험,"60,100",500,+0.84%,500,"42,551","70,800",43.18,"180,337",4.56,13.38,
71,오리온,"107,000","2,000",-1.83%,500,"42,304","39,536",35.87,"138,067",16.09,12.75,
72,현대제철,"31,650",100,-0.31%,"5,000","42,236","133,446",21.23,"317,177",2.44,8.54,
73,유한양행,"57,500",400,+0.70%,"1,000","42,108","73,231",18.79,"192,380",43.69,5.45,
74,현대건설,"37,600",500,-1.31%,"5,000","41,870","111,356",23.61,"372,997",10.09,5.89,
75,HD현대,"51,500",200,-0.39%,"1,000","40,681","78,993",16.19,"190,576",76.07,-1.99,
76,한진칼,"59,200",200,-0.34%,"2,500","39,523","66,761",14.63,"72,517",20.85,1.11,
77,TIGER 차이나전기차SOLACTIVE,"17,355",445,+2.63%,0,"39,014","224,800",0.78,"10,432,498",N/A,N/A,
78,한미약품,"311,000","10,000",-3.12%,"2,500","38,309","12,318",13.89,"58,332",56.75,8.75,
79,한국타이어앤테크놀로지,"30,900",250,-0.80%,500,"38,277","123,875",35.98,"209,024",7.29,7.69,
80,메리츠화재,"31,650",450,-1.40%,500,"38,178","120,625",11.11,"150,337",5.14,26.12,
81,미래에셋증권,"6,100",100,-1.61%,"5,000","37,534","615,316",13.45,"1,607,095",4.55,11.66,
82,금호석유,"123,500",500,-0.40%,"5,000","37,415","30,296",19.87,"108,792",2.22,47.76,
83,삼성엔지니어링,"19,000",300,-1.55%,"5,000","37,240","196,000",39.73,"1,817,131",9.83,20.67,
